Name,Thread,My Golf,My Shortened Golf
Eat the Chocolate Bar,http://codegolf.stackexchange.com/q/71294/43587,https://github.com/timmyrs/Code-Golfs/blob/master/chocolate.php,N/A
Exploded Substrings,http://codegolf.stackexchange.com/q/78691/43587,https://github.com/timmyrs/Code-Golfs/blob/master/explodesub.php,https://github.com/timmyrs/Code-Golfs/blob/master/explodesub.short.php
Find the Factorial,http://codegolf.stackexchange.com/q/607/43587,https://github.com/timmyrs/Code-Golfs/blob/master/factorial.php,N/A
Contiously Expanding Code,http://codegolf.stackexchange.com/q/79909/43587,https://github.com/timmyrs/Code-Golfs/blob/master/hello_expand.php,N/A
Magnetic Pull in an Array,http://codegolf.stackexchange.com/q/71154/43587,https://github.com/timmyrs/Code-Golfs/blob/master/magnet.php,N/A
I'm Not the Language You're Looking For!,http://codegolf.stackexchange.com/q/55960/43587,https://github.com/timmyrs/Code-Golfs/blob/master/not_the_lang.md,N/A
Outline a PNG Image,http://codegolf.stackexchange.com/q/79443/43587,https://github.com/timmyrs/stack/tree/master/golf/outline,N/A
Passwordify the String,http://codegolf.stackexchange.com/q/76486/43587,https://github.com/timmyrs/Code-Golfs/blob/master/password.php,N/A
Toggle a String,http://codegolf.stackexchange.com/q/80243/43587,https://github.com/timmyrs/Code-Golfs/blob/master/toggle.php,N/A
Unslice a String,http://codegolf.stackexchange.com/q/73805/43587,https://github.com/timmyrs/Code-Golfs/blob/master/unslice.php,N/A
